,onehot_cities__city_Algona,onehot_cities__city_Auburn,onehot_cities__city_Beaux Arts Village,onehot_cities__city_Bellevue,onehot_cities__city_Black Diamond,onehot_cities__city_Bothell,onehot_cities__city_Burien,onehot_cities__city_Carnation,onehot_cities__city_Clyde Hill,onehot_cities__city_Covington,onehot_cities__city_Des Moines,onehot_cities__city_Duvall,onehot_cities__city_Enumclaw,onehot_cities__city_Fall City,onehot_cities__city_Federal Way,onehot_cities__city_Inglewood-Finn Hill,onehot_cities__city_Issaquah,onehot_cities__city_Kenmore,onehot_cities__city_Kent,onehot_cities__city_Kirkland,onehot_cities__city_Lake Forest Park,onehot_cities__city_Maple Valley,onehot_cities__city_Medina,onehot_cities__city_Mercer Island,onehot_cities__city_Milton,onehot_cities__city_Newcastle,onehot_cities__city_Normandy Park,onehot_cities__city_North Bend,onehot_cities__city_Pacific,onehot_cities__city_Preston,onehot_cities__city_Ravensdale,onehot_cities__city_Redmond,onehot_cities__city_Renton,onehot_cities__city_Sammamish,onehot_cities__city_SeaTac,onehot_cities__city_Seattle,onehot_cities__city_Shoreline,onehot_cities__city_Skykomish,onehot_cities__city_Snoqualmie,onehot_cities__city_Snoqualmie Pass,onehot_cities__city_Tukwila,onehot_cities__city_Vashon,onehot_cities__city_Woodinville,onehot_cities__city_Yarrow Point,log__sqft_lot,cbrt__sqft_living,cbrt__sqft_basement,cbrt__sqft_above,remainder__bedrooms,remainder__bathrooms,remainder__floors,remainder__waterfront,remainder__view,remainder__condition
1992,-0.03708794707761376,-0.19925597109387938,-0.016577115836059118,-0.2566822899037206,-0.04389512813061715,-0.07797889184417119,-0.11437215926734369,-0.06644554941850724,-0.04978610265551848,-0.10133716048106597,-0.11801515411874224,-0.10540925533894792,-0.08146881698903666,-0.04693232544639363,-0.18384019337403296,-0.016577115836059298,-0.20659424042698596,-0.11920606685498902,-0.21160368475757488,-0.2087533991372949,-0.08481889296799314,-0.14990633779917134,-0.04389512813061543,-0.13378001241812323,-0.023446803861612235,-0.09116056881941789,-0.06849995618019072,-0.10804236090984111,-0.040633400024836404,-0.023446803861612256,-0.04389512813061573,-0.22875152942551685,-0.26211121699831824,-0.1939800974873597,-0.08316026287998346,1.3954814298487397,-0.161923871889133,-0.023446803861612242,-0.12271332882303632,-0.016577115836059603,-0.08804509063255954,-0.08481889296799386,-0.15369465587356457,-0.03316790634033356,-0.3161526721202352,0.0018844511673478009,1.1993451694796493,-0.5862976136888134,0.6827523125912578,-0.519269364534742,-0.9510480470434052,-0.08481889296799176,2.2400260477085716,-0.6748573224463761
871,-0.03708794707761376,-0.19925597109387938,-0.016577115836059118,-0.2566822899037206,-0.04389512813061715,-0.07797889184417119,-0.11437215926734369,-0.06644554941850724,-0.04978610265551848,-0.10133716048106597,-0.11801515411874224,-0.10540925533894792,-0.08146881698903666,-0.04693232544639363,-0.18384019337403296,-0.016577115836059298,-0.20659424042698596,-0.11920606685498902,-0.21160368475757488,-0.2087533991372949,-0.08481889296799314,-0.14990633779917134,-0.04389512813061543,-0.13378001241812323,-0.023446803861612235,-0.09116056881941789,-0.06849995618019072,9.255628917943055,-0.040633400024836404,-0.023446803861612256,-0.04389512813061573,-0.22875152942551685,-0.26211121699831824,-0.1939800974873597,-0.08316026287998346,-0.7165985720844881,-0.161923871889133,-0.023446803861612242,-0.12271332882303632,-0.016577115836059603,-0.08804509063255954,-0.08481889296799386,-0.15369465587356457,-0.03316790634033356,0.20088394646438165,-0.9823403979285873,-0.7843612106099295,-0.6346072013262931,-0.4382302845364725,0.44574449875991157,0.9036612437350545,-0.08481889296799176,-0.31239054758308615,-0.6748573224463761
843,-0.03708794707761376,-0.19925597109387938,-0.016577115836059118,-0.2566822899037206,-0.04389512813061715,-0.07797889184417119,-0.11437215926734369,-0.06644554941850724,-0.04978610265551848,-0.10133716048106597,-0.11801515411874224,-0.10540925533894792,-0.08146881698903666,-0.04693232544639363,-0.18384019337403296,-0.016577115836059298,-0.20659424042698596,-0.11920606685498902,-0.21160368475757488,-0.2087533991372949,-0.08481889296799314,-0.14990633779917134,-0.04389512813061543,-0.13378001241812323,-0.023446803861612235,-0.09116056881941789,-0.06849995618019072,-0.10804236090984111,-0.040633400024836404,-0.023446803861612256,-0.04389512813061573,-0.22875152942551685,-0.26211121699831824,-0.1939800974873597,-0.08316026287998346,1.3954814298487397,-0.161923871889133,-0.023446803861612242,-0.12271332882303632,-0.016577115836059603,-0.08804509063255954,-0.08481889296799386,-0.15369465587356457,-0.03316790634033356,-1.7261541990084226,-0.6671923854214261,0.7112491386101849,-0.7842641563977645,-0.4382302845364725,0.44574449875991157,0.9036612437350545,-0.08481889296799176,-0.31239054758308615,-0.6748573224463761
2708,-0.03708794707761376,-0.19925597109387938,-0.016577115836059118,-0.2566822899037206,-0.04389512813061715,-0.07797889184417119,-0.11437215926734369,-0.06644554941850724,-0.04978610265551848,-0.10133716048106597,-0.11801515411874224,-0.10540925533894792,-0.08146881698903666,-0.04693232544639363,-0.18384019337403296,-0.016577115836059298,-0.20659424042698596,-0.11920606685498902,-0.21160368475757488,-0.2087533991372949,-0.08481889296799314,-0.14990633779917134,-0.04389512813061543,-0.13378001241812323,-0.023446803861612235,-0.09116056881941789,-0.06849995618019072,-0.10804236090984111,-0.040633400024836404,-0.023446803861612256,-0.04389512813061573,4.371555471176038,-0.26211121699831824,-0.1939800974873597,-0.08316026287998346,-0.7165985720844881,-0.161923871889133,-0.023446803861612242,-0.12271332882303632,-0.016577115836059603,-0.08804509063255954,-0.08481889296799386,-0.15369465587356457,-0.03316790634033356,-0.07705056366140685,0.6715125154330899,-0.7843612106099295,1.0635312073881376,0.6827523125912578,0.7674157865247961,0.9036612437350545,-0.08481889296799176,-0.31239054758308615,-0.6748573224463761
380,-0.03708794707761376,-0.19925597109387938,-0.016577115836059118,-0.2566822899037206,-0.04389512813061715,-0.07797889184417119,-0.11437215926734369,-0.06644554941850724,-0.04978610265551848,-0.10133716048106597,-0.11801515411874224,-0.10540925533894792,-0.08146881698903666,-0.04693232544639363,-0.18384019337403296,-0.016577115836059298,-0.20659424042698596,-0.11920606685498902,-0.21160368475757488,-0.2087533991372949,-0.08481889296799314,-0.14990633779917134,-0.04389512813061543,-0.13378001241812323,-0.023446803861612235,-0.09116056881941789,-0.06849995618019072,-0.10804236090984111,-0.040633400024836404,-0.023446803861612256,-0.04389512813061573,-0.22875152942551685,-0.26211121699831824,-0.1939800974873597,-0.08316026287998346,1.3954814298487397,-0.161923871889133,-0.023446803861612242,-0.12271332882303632,-0.016577115836059603,-0.08804509063255954,-0.08481889296799386,-0.15369465587356457,-0.03316790634033356,-0.15955244889416675,-0.10482780134683159,-0.7843612106099295,0.26640269643862136,0.6827523125912578,-0.19759807676985752,-0.023693401654175293,-0.08481889296799176,-0.31239054758308615,2.2990902001986697
3138,-0.03708794707761376,-0.19925597109387938,-0.016577115836059118,-0.2566822899037206,-0.04389512813061715,-0.07797889184417119,-0.11437215926734369,-0.06644554941850724,-0.04978610265551848,-0.10133716048106597,-0.11801515411874224,-0.10540925533894792,-0.08146881698903666,-0.04693232544639363,-0.18384019337403296,-0.016577115836059298,-0.20659424042698596,-0.11920606685498902,-0.21160368475757488,-0.2087533991372949,-0.08481889296799314,-0.14990633779917134,-0.04389512813061543,-0.13378001241812323,-0.023446803861612235,-0.09116056881941789,-0.06849995618019072,-0.10804236090984111,-0.040633400024836404,-0.023446803861612256,-0.04389512813061573,-0.22875152942551685,-0.26211121699831824,-0.1939800974873597,-0.08316026287998346,-0.7165985720844881,-0.161923871889133,-0.023446803861612242,-0.12271332882303632,-0.016577115836059603,11.357816691600181,-0.08481889296799386,-0.15369465587356457,-0.03316790634033356,0.5325406808428153,-1.095080480497529,-0.7843612106099295,-0.750366143893206,-0.4382302845364725,-1.4842832278293958,-0.9510480470434052,-0.08481889296799176,-0.31239054758308615,-0.6748573224463761
949,-0.03708794707761376,-0.19925597109387938,-0.016577115836059118,-0.2566822899037206,-0.04389512813061715,-0.07797889184417119,-0.11437215926734369,-0.06644554941850724,-0.04978610265551848,-0.10133716048106597,-0.11801515411874224,-0.10540925533894792,-0.08146881698903666,-0.04693232544639363,-0.18384019337403296,-0.016577115836059298,-0.20659424042698596,-0.11920606685498902,-0.21160368475757488,-0.2087533991372949,-0.08481889296799314,-0.14990633779917134,-0.04389512813061543,-0.13378001241812323,-0.023446803861612235,-0.09116056881941789,-0.06849995618019072,-0.10804236090984111,-0.040633400024836404,-0.023446803861612256,-0.04389512813061573,-0.22875152942551685,-0.26211121699831824,-0.1939800974873597,-0.08316026287998346,1.3954814298487397,-0.161923871889133,-0.023446803861612242,-0.12271332882303632,-0.016577115836059603,-0.08804509063255954,-0.08481889296799386,-0.15369465587356457,-0.03316790634033356,-0.7656881652611335,-0.2524590831917804,1.2454943291324398,-1.0329987949354427,-1.5592128816642028,-1.4842832278293958,-0.9510480470434052,-0.08481889296799176,-0.31239054758308615,0.8121164388761469
3796,-0.03708794707761376,-0.19925597109387938,-0.016577115836059118,-0.2566822899037206,-0.04389512813061715,-0.07797889184417119,-0.11437215926734369,-0.06644554941850724,-0.04978610265551848,-0.10133716048106597,-0.11801515411874224,-0.10540925533894792,-0.08146881698903666,-0.04693232544639363,-0.18384019337403296,-0.016577115836059298,-0.20659424042698596,-0.11920606685498902,-0.21160368475757488,-0.2087533991372949,-0.08481889296799314,-0.14990633779917134,-0.04389512813061543,-0.13378001241812323,-0.023446803861612235,-0.09116056881941789,-0.06849995618019072,-0.10804236090984111,-0.040633400024836404,-0.023446803861612256,-0.04389512813061573,-0.22875152942551685,-0.26211121699831824,-0.1939800974873597,-0.08316026287998346,1.3954814298487397,-0.161923871889133,-0.023446803861612242,-0.12271332882303632,-0.016577115836059603,-0.08804509063255954,-0.08481889296799386,-0.15369465587356457,-0.03316790634033356,-0.1714088458132382,0.9165539590350043,1.653968857802466,-0.15364860857736784,0.6827523125912578,1.0890870742896808,-0.9510480470434052,-0.08481889296799176,-0.31239054758308615,-0.6748573224463761
472,-0.03708794707761376,-0.19925597109387938,-0.016577115836059118,-0.2566822899037206,-0.04389512813061715,-0.07797889184417119,-0.11437215926734369,-0.06644554941850724,-0.04978610265551848,-0.10133716048106597,-0.11801515411874224,-0.10540925533894792,-0.08146881698903666,-0.04693232544639363,-0.18384019337403296,-0.016577115836059298,-0.20659424042698596,-0.11920606685498902,-0.21160368475757488,-0.2087533991372949,-0.08481889296799314,-0.14990633779917134,-0.04389512813061543,-0.13378001241812323,-0.023446803861612235,-0.09116056881941789,-0.06849995618019072,-0.10804236090984111,-0.040633400024836404,-0.023446803861612256,-0.04389512813061573,-0.22875152942551685,-0.26211121699831824,-0.1939800974873597,-0.08316026287998346,1.3954814298487397,-0.161923871889133,-0.023446803861612242,-0.12271332882303632,-0.016577115836059603,-0.08804509063255954,-0.08481889296799386,-0.15369465587356457,-0.03316790634033356,-0.5214944270676076,0.8613534507430907,-0.7843612106099295,1.2584555450917312,0.6827523125912578,0.44574449875991157,0.9036612437350545,-0.08481889296799176,-0.31239054758308615,-0.6748573224463761
3992,-0.03708794707761376,-0.19925597109387938,-0.016577115836059118,-0.2566822899037206,-0.04389512813061715,-0.07797889184417119,-0.11437215926734369,-0.06644554941850724,-0.04978610265551848,-0.10133716048106597,-0.11801515411874224,-0.10540925533894792,-0.08146881698903666,-0.04693232544639363,5.439506898066974,-0.016577115836059298,-0.20659424042698596,-0.11920606685498902,-0.21160368475757488,-0.2087533991372949,-0.08481889296799314,-0.14990633779917134,-0.04389512813061543,-0.13378001241812323,-0.023446803861612235,-0.09116056881941789,-0.06849995618019072,-0.10804236090984111,-0.040633400024836404,-0.023446803861612256,-0.04389512813061573,-0.22875152942551685,-0.26211121699831824,-0.1939800974873597,-0.08316026287998346,-0.7165985720844881,-0.161923871889133,-0.023446803861612242,-0.12271332882303632,-0.016577115836059603,-0.08804509063255954,-0.08481889296799386,-0.15369465587356457,-0.03316790634033356,0.18814178255755123,-1.5186781184729758,-0.7843612106099295,-1.185306526484236,-0.4382302845364725,-1.4842832278293958,-0.9510480470434052,-0.08481889296799176,-0.31239054758308615,2.2990902001986697
