,price
1992,13.024750548537328
871,12.542544882151386
843,12.739637756265655
2708,13.493926933836812
380,13.635187003832993
3138,12.013700752882718
949,13.473020249017498
3796,13.073173133213556
472,13.693342923990066
3992,12.2783933071098
4332,12.537173338349476
1940,12.994530005894443
1783,12.65075846679162
3948,13.151922179645874
39,13.527828485512494
1855,12.873902018105829
1928,13.028052697933088
4061,13.863347887378435
2493,12.86099861326992
398,12.905450375840756
2986,12.230765258120545
538,12.616525295149378
1644,13.641157170819497
2137,13.217673557208654
4535,12.201034977762834
2940,13.030248088496522
2310,12.863592648446968
2436,13.42984807715229
1349,12.751154757974255
3038,13.422467969854667
1596,12.886641043883259
1766,13.477587269075746
3469,14.108180171927094
2367,13.710150042306449
4498,12.050732592011693
621,13.399995114002609
3157,12.706544857216672
2329,11.608235644774552
1273,12.994530005894443
30,12.854483932248728
3358,13.955272500339433
2946,13.283130974213892
2377,12.254862809699606
2625,12.254862809699606
2818,13.190022025878143
3106,13.235692062711331
3335,12.628067055589549
4210,12.628067055589549
502,13.529160930746272
2485,13.148031124152906
3012,12.948009990259552
2796,13.329377546788654
2962,12.986543654261794
3364,12.755638097612096
2627,13.235692062711331
3959,14.670757880342673
527,12.611537753638338
4333,12.232836282799388
206,13.494100711839987
1770,13.32612021491835
4338,12.216022976383341
4034,12.611537753638338
2958,12.891691559669328
1248,13.422467969854667
1410,13.541073712262515
1220,13.569610019527449
794,12.524526376648708
2784,13.262038359476811
3736,13.017002861746503
4192,12.594730635321957
1009,11.701477571514818
1367,12.597547004611188
1662,14.282384294201082
4220,13.287877815881902
2899,13.304684934198283
3615,13.38472764187182
1496,12.072541252905651
4529,13.203943364396752
2285,13.591116224748411
3900,12.652359748158593
3313,13.260384675301703
2189,13.458835614025542
1480,13.641157170819497
3782,12.468436909997665
938,13.079455876393052
2658,12.712890247898626
3549,12.765688433465597
3881,12.72039215855042
3826,13.270783382522602
1804,13.77468856344402
2085,13.199324418540456
3079,12.751299696013497
1432,12.445089546000673
748,13.45166712454693
2272,13.653967622617456
3099,13.599839021488766
1382,12.54966234992025
546,13.345506928718539
615,13.253391639810733
1450,12.323855681186558
138,13.141969907043247
1879,12.721885810807203
49,13.63877337946422
1989,13.591116224748411
333,12.594730635321957
3514,12.388394202324129
2575,13.357435499583813
1784,12.676076274775909
3817,13.398478813484644
4539,12.156718259717643
1658,13.036805489042683
3543,12.468436909997665
467,12.487485104968359
3986,12.793859310432293
276,13.753635154246187
3164,13.116345305078767
2340,13.604727796348284
2696,12.644327576461329
1282,13.180632285528304
1262,12.460714863903755
1835,12.390475368527953
2373,13.270783382522602
1428,12.80765263256463
1237,13.173056491719846
4519,13.809995377276165
4263,13.270783382522602
3887,13.248996028337695
3241,12.458774999085929
3139,12.473615784141067
2591,12.829333698625952
4188,12.330720950095284
2573,13.541007920624608
1899,13.718448845121143
1815,12.363076394339839
1206,12.9190224533863
3818,12.314927050442256
985,13.793264949016955
3655,13.217673557208654
1536,13.45166712454693
482,14.269765830241871
2250,13.981024996441848
2955,12.928778628331663
4161,12.71736815888076
2802,12.66032791780777
2399,13.652991628466498
1586,13.396960210307455
692,13.871890891400382
289,12.797408559943435
4019,13.618278388434565
2174,12.89921982609012
2513,12.93723789327764
2178,12.80765263256463
2913,12.706847933442663
295,13.180632285528304
61,13.038960029098545
1513,12.631340380934517
2939,12.220961258023925
2301,12.560244459250788
2148,13.519393006691391
3875,14.160234370783252
1095,12.74984936943585
1670,13.058358047428417
2885,14.411596025681089
2837,14.09692301740246
2124,12.94084150078094
4110,13.291852955382906
3712,12.524162674153336
1961,13.58609739363647
3725,13.331002242515657
2706,13.530491602931978
2803,12.608198852372823
1943,13.681979165339751
3235,13.262125319779487
3312,13.262125319779487
3816,12.468436909997665
1478,12.948009990259552
607,13.235692062711331
296,13.235692062711331
587,12.86099861326992
566,12.567237494741757
3408,12.896716695872
3423,12.676076274775909
3743,13.142166004700508
3120,13.017002861746503
4126,12.736700896592344
3409,12.086725887897607
2918,12.886641043883259
3559,14.414347059052979
3783,14.26339638195639
196,13.148031124152906
1778,13.015891132893811
4258,13.235692062711331
4288,13.493926933836812
1577,13.142166004700508
321,13.194684038983954
118,13.845069360205818
261,13.272506035834049
598,13.017002861746503
1708,12.810388612383504
905,12.542544882151386
1458,13.39239051461739
1144,12.83067328355501
1056,14.224967687341977
3121,13.709038313453757
322,13.62918097977278
1830,12.641096555879882
1914,12.899094818276968
4107,13.475271234773817
1471,13.304684934198283
579,12.765688433465597
3787,13.732128949025222
3318,12.56374708980199
3192,12.761393509182716
2902,13.475833190394113
3846,12.736553826954605
3427,13.444446876573442
226,12.821123140353697
17,12.814478597635029
2439,13.286181462633724
3494,12.506177237980511
1931,13.016891744462095
4022,13.355853220772683
3722,13.077366011473593
3064,12.751589509086095
3321,13.493926933836812
418,13.961513852084117
2736,12.487296407920908
988,12.66032791780777
1062,13.1470559899947
2714,13.270783382522602
3058,14.545471711646936
1464,13.976778705560397
572,13.262125319779487
229,13.161487932088379
3276,12.89921982609012
86,13.215853720491667
440,12.43320821811392
2058,13.017002861746503
1907,13.10011776845701
3777,13.493926933836812
3761,12.066810578196666
2675,12.994530005894443
3007,13.892471599100402
242,13.53843866462451
3262,12.706696406811568
1574,13.005829561148378
4431,11.962513779267155
2594,12.834681304952548
4339,12.994530005894443
3584,13.176851562688398
3027,13.440089571204487
998,13.9108207377686
1430,13.303016877097587
3220,13.825460888817442
2602,12.736700896592344
944,12.706847933442663
935,13.219490088135052
1752,13.217673557208654
1760,13.070859534537213
4540,12.834681304952548
996,12.611371073081239
346,12.594730635321957
558,13.217673557208654
1427,13.710150042306449
3490,12.994530005894443
3621,12.891691559669328
3756,13.304684934198283
257,13.527761816623505
3122,13.383187995686226
4417,12.46684168225589
1148,13.111100185125618
2558,13.24634935718532
3563,13.993656743347747
3998,13.567049198665774
3570,12.936033799212835
1299,12.826649133255284
1366,12.936033799212835
953,13.102160670086809
3448,13.249876697703288
1531,12.871334622600584
3978,13.676248490630767
3118,13.715690222682063
1994,13.030248088496522
2892,13.13626628257332
2670,13.972514306773938
3008,13.737549016494562
4150,12.587927887999204
840,12.841325847671216
2926,13.534208092476533
3297,13.514405465180353
1239,13.864300722133706
1368,13.017002861746503
2872,13.304684934198283
92,13.620711479659207
2663,13.413539339110365
3287,12.771386454580234
2247,12.634603026569334
234,12.441144767709657
2628,12.513557345278134
1351,12.871334622600584
897,12.829333698625952
2758,12.487485104968359
961,12.479909311159902
3644,12.577463773304586
983,12.611537753638338
4081,13.235692062711331
2455,12.367340793126296
4573,13.277656261810364
4585,13.09580377306898
3747,13.241034907121827
1593,13.37700559577791
1120,12.971540487669746
2406,13.102058624063964
3442,12.560244459250788
635,12.751299696013497
2866,12.8989397868828
444,13.65416740755551
3664,13.681979165339751
4194,12.921773567559736
868,13.043320170063875
4495,12.006314232226527
2100,13.458835614025542
3906,13.9108207377686
1359,13.253391639810733
436,12.793859310432293
1441,12.886641043883259
3179,12.814478597635029
2590,13.710094485207625
1715,12.611537753638338
3532,13.023647404465171
2895,12.644327576461329
1420,13.112313041550827
834,13.37700559577791
2125,12.983101310070822
443,13.203943364396752
2971,14.077874822431765
4459,13.291440469353217
4135,14.714858569108117
2580,12.86099861326992
643,12.729320789294722
570,13.458835614025542
4092,12.409013489526863
1197,12.84792653170257
1070,13.704578997256993
4056,12.154779351142624
3713,12.301155526776865
4304,13.487006490992238
2791,13.44154411691548
1564,13.361695188915062
3603,13.088709381291137
2224,12.90669184092882
3885,12.522706539931722
989,12.641096555879882
306,13.585032676082449
10,13.045482333068371
14,13.997832114758229
2847,12.92391243868049
1431,13.610943392223
4,13.217673557208654
682,12.644327576461329
3784,12.973863369085885
4425,11.379394072345706
1290,13.407542319637992
3994,12.676076274775909
4582,12.914262367622888
285,14.108180171927094
1329,12.793859310432293
473,13.024190303426474
4313,12.834681304952548
3228,12.611537753638338
1319,12.75419405403986
2928,13.028052697933088
3052,12.971540487669746
4583,12.552377337128895
2004,12.745485726148077
1529,13.244581010128577
3222,12.624782980388359
2172,13.10011776845701
2703,12.765688433465597
2527,12.9384405392434
3829,13.304601597392535
290,11.512925464970229
3727,12.611537753638338
3794,13.766845385982993
1332,13.279367126213993
3786,12.978493006984626
914,12.979647075202733
4399,12.458774999085929
249,12.936033799212835
3236,12.746942390644541
3562,12.449018824140563
535,13.329377546788654
509,12.211060187041213
66,12.84761069235689
188,12.909170156943286
219,13.120361374733656
1242,12.84183167998138
244,12.644327576461329
835,12.65714826489039
1276,12.611537753638338
3022,13.742939865129438
1504,13.07064894171765
1129,12.93313804429358
596,13.337474757021274
2324,13.208541073645382
758,13.270869585703553
654,13.491164501140902
15,12.398756989359676
2465,13.279367126213993
3775,13.87377946608825
1865,11.993498045565198
1336,11.982929094215963
